sta  stla  stlo  az  dist  pga  pgv
W20B 23.485024 120.557558 256.77 78.9592 3.044195 0.250962
W20C 23.453300 120.749200 249.282 61.2625 5.923980 0.265316
W20D 23.494700 120.425600 259.39 91.908 2.967597 0.410189
W20E 23.465200 120.438000 257.227 91.3501 7.209223 0.571690
W20F 23.484056 120.487249 257.822 85.9809 3.644939 0.295212
W210 23.344227 120.474014 248.533 91.8602 2.598576 0.248135
W211 23.376845 120.445009 251.268 93.3784 4.374288 0.351073
W212 23.368009 120.413187 251.351 96.7731 4.496860 0.430922
W213 23.352203 120.413945 250.361 97.284 8.782570 0.408765
W214 23.285872 120.364627 247.526 104.666 4.350759 0.360811
W215 23.397338 120.440479 252.682 93.1028 4.135272 0.382321
W217 23.323517 120.405117 248.816 99.2556 6.501878 0.421358
W218 23.189250 120.342317 242.9 111.288 4.180366 0.440890
W219 23.079350 120.295800 238.84 121.437 3.823168 0.400722
W21A 23.100767 120.355650 238.249 114.977 4.323458 0.300838
W21B 23.037417 120.311050 236.608 122.629 2.454903 0.297420
W21C 23.068283 120.349150 236.935 117.485 2.531204 0.414211
W21E 22.964733 120.359500 232.213 123.338 3.890066 0.377115
W21F 22.904367 120.352567 230.058 128.118 3.450517 0.482488
W220 23.033317 120.267833 237.553 126.58 2.215078 0.335852
W221 23.025950 120.256133 237.537 128.03 2.453308 0.303814
W222 23.006283 120.258483 236.667 129.025 2.786875 0.413753
W223 22.993517 120.212983 237.274 133.696 2.455738 0.198397
W224 22.982567 120.239067 236.2 132.144 1.700464 0.206509
W226 23.186100 120.252983 244.775 119.626 3.695765 0.438511
W227 23.189083 120.192467 246.14 125.103 6.045198 0.508608
W228 23.049050 120.173883 240.417 133.888 2.631179 0.378387
W229 23.267100 120.246383 248.894 116.653 3.445794 0.266817
W22A 22.963300 120.235783 235.524 133.631 1.803192 0.281133
W22B 23.344383 120.315883 251.763 107.035 3.590650 0.317799
W22C 23.055867 120.404150 234.79 113.619 3.173015 0.204103
W22D 23.275383 120.312900 248.039 109.998 5.738616 0.278622
W22E 22.962083 120.253817 235.018 132.197 2.337610 0.314322
W22F 23.098167 120.225067 241.361 126.643 4.543805 0.445155
